product_name,id,current_price,original_price,discount,discount_rate,short_description,rating_average,inventory_status,brand_name,product_link
Điện thoại Samsung Galaxy A13 (4GB/128GB) - Hàng chính hãng,170580388,3990000,4990000,1000000,20,"Điện thoại Samsung Galaxy A13 – Smartphone nhỏ gọn, ấn tượngSau Galaxy A12 thì Samsung lại tiếp tục chuẩn bị để cho ra mắt phiên bản kế nhiệm mang tên điện thoại Samsung Galaxy A13. Điện thoại Samsun...",4.8,available,Samsung,https://tiki.vn/product-p170580388.html?spid=170580391
Điện thoại Samsung Galaxy S22 Ultra 5G (8GB/128GB) - Hàng Chính Hãng,162593114,24990000,30990000,6000000,19,...,4.3,available,Samsung,https://tiki.vn/product-p162593114.html?spid=162593120
MỚI Điện thoại vivo T1x (8GB - 128GB) - Hàng Chính Hãng,184667324,5245000,6490000,1245000,19,...,0.0,available,Vivo,https://tiki.vn/product-p184667324.html?spid=184667326
Điện thoại Samsung Galaxy Z Flip 4 (8GB/128GB) - Hàng chính hãng,194034217,20490000,23990000,3500000,15,...,5.0,available,Samsung,https://tiki.vn/product-p194034217.html?spid=194034219
Điện thoại Samsung Galaxy Z Flip 4 (8GB/256GB) - Hàng chính hãng,194037967,22490000,25990000,3500000,13,...,5.0,available,Samsung,https://tiki.vn/product-p194037967.html?spid=194037971
Điện thoại Gaming Tecno POVA 3 (6GB)/128GB - Helio G88 | 7000 mAh | Sạc nhanh 33W - Hàng Chính Hãng,187266104,4290000,4990000,700000,14,"       RAM: 11GB* （6GB + 5GB RAM mở rộng）ROM: 128GBKích thước: 173.1*78.46* 9.44mmChipset: MediaTek G88, Octa coreMàn hình: 6.95”FHD+ H, 90 Hz RefreshRateKết...",4.7,available,Tecno,https://tiki.vn/product-p187266104.html?spid=187266106
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,125182567,3730000,3990000,260000,7,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,5.0,available,Kindle,https://tiki.vn/product-p125182567.html?spid=127461186
Apple iPhone 13,184059211,19000000,24990000,5990000,24,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,5.0,available,Apple,https://tiki.vn/product-p184059211.html?spid=123547399
"Apple iPad 10.2-inch (9th Gen) Wi-Fi, 2021",183330021,7790000,10990000,3200000,29,"Nội dung quảng cáoMạnh mẽ. Dễ sử dụng. Linh hoạt. iPad có màn hình Retina 10.2 inch tuyệt đẹp, chip A13 Bionic mạnh mẽ, camera trước Ultra Wide có tính năng Trung Tâm Màn Hình, tương thích với Apple ...",5.0,available,Apple,https://tiki.vn/product-p183330021.html?spid=124939769
Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,120295859,1790000,1990000,200000,10,"Nokia C30 là dòng smartphone giá rẻ được Nokia chăm chút và đầu tư kỹ lưỡng với những nâng cấp đáng kể cả về ngoại hình lẫn hiệu năng, hứa hẹn mang đến cho người dùng những trải nghiệm tuyệt vời hơn b...",4.7,available,Nokia,https://tiki.vn/product-p120295859.html?spid=120295861
